t,001_N_ITERATIONS( 0.0050_ 0.0000_ 0.0000),002_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),003_TEMPERATURE( 0.0080_ 0.0000_ 0.0000),004_TEMPERATURE( 0.0160_ 0.0000_ 0.0000),005_TEMPERATURE( 0.0400_ 0.0000_ 0.0000),
       285.0000,        1.0000000,      134.7466652,       69.8480561,       39.9085370,       26.9577224,
       286.0000,        1.0000000,      134.9357935,       70.0025958,       39.9928503,       26.9601494,
       287.0000,        1.0000000,      135.1245915,       70.1569743,       40.0772541,       26.9626152,
       288.0000,        1.0000000,      135.3130608,       70.3111921,       40.1617473,       26.9651202,
       289.0000,        1.0000000,      135.5012032,       70.4652494,       40.2463288,       26.9676646,
       290.0000,        1.0000000,      135.6890203,       70.6191466,       40.3309976,       26.9702489,
       291.0000,        1.0000000,      135.8765139,       70.7728840,       40.4157527,       26.9728732,
       292.0000,        1.0000000,      136.0636857,       70.9264621,       40.5005931,       26.9755381,
       293.0000,        1.0000000,      136.2505372,       71.0798812,       40.5855178,       26.9782438,
       294.0000,        1.0000000,      136.4370701,       71.2331416,       40.6705258,       26.9809905,
       295.0000,        1.0000000,      136.6232860,       71.3862437,       40.7556162,       26.9837787,
       296.0000,        1.0000000,      136.8091866,       71.5391878,       40.8407879,       26.9866087,
       297.0000,        1.0000000,      136.9947734,       71.6919743,       40.9260400,       26.9894807,
       298.0000,        1.0000000,      137.1800481,       71.8446035,       41.0113716,       26.9923952,
       299.0000,        1.0000000,      137.3650121,       71.9970758,       41.0967818,       26.9953524,
       300.0000,        1.0000000,      137.5496671,       72.1493916,       41.1822695,       26.9983526,
